source,target,Correlation,genre
476,478,0.9730616197881836,blues
474,476,0.9728137904055107,blues
423,472,0.9697764140078432,blues
423,474,0.969098997086034,blues
421,472,0.967739596798438,blues
474,478,0.9615167854378642,blues
472,474,0.9602248218288376,blues
472,476,0.949354319622956,blues
252,547,0.9425429628580524,blues
99,185,0.940904252229394,blues
423,476,0.9407959696599898,blues
472,478,0.9397668215438236,blues
423,478,0.9355159437061792,blues
164,167,0.9324320852473744,blues
29,95,0.9298721755123704,blues
421,423,0.9276566237583252,blues
95,99,0.926809552614634,blues
395,478,0.9263859200219352,blues
20,25,0.9224283410166728,blues
392,479,0.9201281577205174,blues
420,472,0.9167735057770294,blues
420,423,0.916516594487933,blues
421,474,0.9162097645843444,blues
420,421,0.915820357098418,blues
420,474,0.9127182863660572,blues
395,405,0.91224150985037,blues
95,313,0.9122036026412332,blues
95,182,0.911767205081382,blues
421,519,0.9099201772835612,blues
313,574,0.9090555212417878,blues
95,392,0.9083800469443464,blues
421,476,0.9080755095184262,blues
395,474,0.905406046761158,blues
249,252,0.904183487041848,blues
313,392,0.9041802898965924,blues
249,547,0.9030149632067876,blues
416,519,0.9025102320944616,blues
386,474,0.9009957837350524,blues
99,392,0.8992540997120367,blues
99,313,0.8981621764809375,blues
99,574,0.8963847832034568,blues
395,476,0.8962607428420177,blues
123,126,0.8932394515275167,blues
414,519,0.8926895457122144,blues
129,177,0.8913277322764087,blues
421,478,0.8909625822792318,blues
472,519,0.8905502268285437,blues
418,422,0.8902207133222086,blues
405,476,0.8895375186211005,blues
162,542,0.8892684291940802,blues
476,519,0.8887750363703566,blues
185,392,0.8886041921720964,blues
416,476,0.886381088834845,blues
476,479,0.8853298338896283,blues
474,519,0.8852290209526799,blues
386,395,0.8851051249461404,blues
479,574,0.8830493595330041,blues
99,110,0.8819776761453608,blues
183,237,0.8815265969701723,blues
313,566,0.8813324065503676,blues
414,518,0.8810507692075998,blues
405,478,0.8806289454756082,blues
322,535,0.8802134342022653,blues
386,390,0.8799034751421344,blues
84,405,0.8793068020593927,blues
185,313,0.8791291297111002,blues
420,476,0.8777580101482476,blues
185,574,0.8766079383105088,blues
420,478,0.8758374341671623,blues
478,479,0.8758283788691354,blues
414,535,0.8751633117042208,blues
386,423,0.8749828514231391,blues
95,574,0.8739066175592908,blues
182,313,0.8736942402966156,blues
310,518,0.8731546220863409,blues
84,395,0.8729700532030354,blues
357,423,0.8728048372389382,blues
404,405,0.8727068497942021,blues
405,479,0.8723430551138068,blues
386,397,0.8723017373933967,blues
110,403,0.8711496039232693,blues
474,479,0.8706817436252615,blues
392,403,0.8706765712460817,blues
405,474,0.8705540997009592,blues
395,423,0.8701709293172483,blues
392,574,0.8700543063514602,blues
84,404,0.8697945440786565,blues
416,420,0.8691793412615416,blues
416,478,0.8685514686333808,blues
357,397,0.8685294715799946,blues
99,182,0.8682893965305011,blues
405,574,0.8680889111183882,blues
395,404,0.8674052082661159,blues
357,386,0.8667506347143016,blues
420,519,0.8664931454186037,blues
386,478,0.866252661285197,blues
416,474,0.8662247871498289,blues
126,237,0.8642975721955987,blues
357,478,0.864016485361561,blues
357,472,0.8636341650479965,blues
29,230,0.8630765671385722,blues
8,291,0.862641569679651,blues
276,313,0.8623497430998186,blues
395,479,0.8623124575523263,blues
416,508,0.8607056629460679,blues
235,237,0.8598882346677378,blues
508,574,0.8595943591824223,blues
95,110,0.8592107405864065,blues
313,479,0.8588192816973721,blues
182,392,0.8584760157147666,blues
99,276,0.8576991510944884,blues
357,474,0.8575045283436533,blues
126,179,0.8570939202091032,blues
29,392,0.8569338975171784,blues
84,574,0.8569326534417857,blues
423,519,0.8568258996528441,blues
95,185,0.8565841375470709,blues
566,574,0.8557552666107697,blues
99,403,0.8556243364986327,blues
29,182,0.8549868181435879,blues
404,574,0.8548267998423005,blues
570,574,0.854710147380315,blues
390,395,0.8546767683517125,blues
479,519,0.8546558627139584,blues
95,96,0.8545585628151142,blues
370,372,0.8545429947148508,blues
192,247,0.8545023048522513,blues
478,519,0.8543297423489442,blues
306,313,0.8539387606105925,blues
96,99,0.8536434687653102,blues
488,541,0.8524870044792664,blues
185,403,0.8523328852409888,blues
191,205,0.8522738787672707,blues
185,276,0.850910218403657,blues
479,508,0.8508031404350535,blues
99,479,0.850250177991782,blues
42,179,0.8496812101300327,blues
405,423,0.8495162146514872,blues
398,404,0.8484555276743465,blues
416,421,0.848271936341438,blues
84,479,0.8481103210132561,blues
227,230,0.8479869770799249,blues
185,566,0.8475037275861781,blues
386,476,0.8471374418865874,blues
392,566,0.8470892023914018,blues
390,397,0.8466364250643269,blues
395,574,0.8459238022300022,blues
95,479,0.8458725673629413,blues
110,392,0.8457098985262025,blues
95,566,0.8454726241680981,blues
75,84,0.8450341560430481,blues
302,304,0.8437900639244801,blues
110,111,0.843375807261709,blues
110,182,0.8424845620262844,blues
108,185,0.8422604789947786,blues
404,479,0.8418718237795105,blues
386,472,0.8411532812129359,blues
357,395,0.8403429197070335,blues
84,478,0.8398454379365742,blues
416,472,0.8396842948750245,blues
395,416,0.8388827479730663,blues
5,11,0.8388282797680259,blues
462,463,0.8385649368509867,blues
313,508,0.8380379137777724,blues
84,108,0.837466756407512,blues
395,472,0.8373057201584364,blues
319,426,0.8371345491709575,blues
29,313,0.8369611242166217,blues
357,476,0.8368429825374613,blues
433,541,0.8358316077198827,blues
103,107,0.8356025693982145,blues
391,393,0.8354171146980708,blues
420,422,0.8349804832587089,blues
68,355,0.8348708140011478,blues
139,250,0.8328386719687221,blues
95,235,0.8326726875898035,blues
185,479,0.8325297208929849,blues
519,535,0.8322745728817258,blues
508,519,0.831989105943123,blues
95,306,0.8319821907825649,blues
29,99,0.8311137843243372,blues
111,403,0.8306582128446375,blues
416,535,0.8297032204436167,blues
179,180,0.8296494688211616,blues
322,414,0.8295824456445428,blues
416,479,0.8290348283453427,blues
123,237,0.8284040698660945,blues
276,277,0.8283973917472046,blues
307,310,0.828094356109143,blues
29,310,0.8279844120899987,blues
95,508,0.8276545170881668,blues
107,400,0.8275964726211682,blues
32,131,0.8269300170342032,blues
108,574,0.8264045187071261,blues
404,478,0.8257718972364764,blues
180,237,0.8256724830319223,blues
110,276,0.8254807769413967,blues
395,420,0.8251998628098494,blues
391,392,0.8251973242186715,blues
297,533,0.8250486670878506,blues
416,423,0.8246721304603474,blues
99,108,0.8242859107644464,blues
99,235,0.82428380172926,blues
313,403,0.8242673909763547,blues
476,508,0.8235620543734911,blues
83,85,0.8234834710992571,blues
95,403,0.8234462735260996,blues
405,416,0.8225770088692356,blues
110,185,0.8225462285041014,blues
404,474,0.8222850489017453,blues
416,574,0.8220272359379134,blues
405,472,0.8211628837397297,blues
29,306,0.8210883831681891,blues
192,243,0.8208150095032278,blues
228,237,0.819476015901937,blues
404,476,0.8190613629540618,blues
547,549,0.8189427979942452,blues
243,247,0.8183563671919883,blues
180,235,0.8177829539939935,blues
94,310,0.8176618751678918,blues
182,185,0.8175784460264429,blues
404,570,0.8173534121023062,blues
46,139,0.8172735875990098,blues
99,566,0.8165293302422162,blues
392,508,0.8161774380884684,blues
110,313,0.8160550421953,blues
29,96,0.8158119997141494,blues
95,230,0.8156894606153127,blues
103,400,0.8153878506732734,blues
84,185,0.815209279647948,blues
357,372,0.8147813891682414,blues
283,571,0.8146917538879995,blues
108,404,0.8146638953024382,blues
197,491,0.8146379619242685,blues
414,421,0.8146037599561559,blues
84,476,0.8145615897685256,blues
